Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
670,0.0056629,0.0057481,0.0058333,0.0060037,0.0063446,0.0070262,0.0052386,0.0053148,0.0053902,0.0055428,0.0058594,0.006487
672,0.0055984,0.0056725,0.0057465,0.0058946,0.0061908,0.0067832,0.0051838,0.0052516,0.0053152,0.0054478,0.0057244,0.0062706
674,0.0053818,0.0054443,0.0055068,0.0056317,0.0058817,0.0063816,0.0050004,0.00506,0.0051144,0.0052254,0.0054622,0.0059268
676,0.00501,0.0050626,0.0051152,0.0052203,0.0054306,0.0058513,0.0046462,0.0046942,0.0047416,0.0048372,0.0050394,0.0054322
678,0.0045255,0.0045697,0.0046139,0.0047023,0.004879,0.0052324,0.004156,0.0041964,0.004237,0.004317,0.004489,0.0048198
680,0.0039903,0.0040277,0.0040651,0.00414,0.0042898,0.0045893,0.0036044,0.003638,0.0036702,0.0037368,0.0038812,0.004157
682,0.0034258,0.0034572,0.0034885,0.0035512,0.0036765,0.0039272,0.0030346,0.003063,0.0030872,0.0031434,0.003262,0.003492
684,0.0027376,0.0027636,0.0027895,0.0028414,0.0029451,0.0031526,0.002376,0.0023984,0.0024174,0.0024646,0.0025594,0.0027482
686,0.002083,0.0021039,0.0021248,0.0021667,0.0022503,0.0024176,0.0017468,0.0017637,0.0017783,0.0018148,0.0018906,0.002042
688,0.00142,0.0014368,0.0014536,0.0014871,0.0015543,0.0016885,0.0011568,0.0011711,0.0011821,0.0012101,0.001268,0.0013897
690,0.00083012,0.00084315,0.00085618,0.00088223,0.00093433,0.0010385,0.0006744,0.00068658,0.00069512,0.00071812,0.0007632,0.00086046
692,0.00039948,0.00040972,0.00041995,0.00044041,0.00048134,0.00056319,0.00034514,0.00035544,0.00036526,0.00038056,0.00041588,0.00049466
694,0.00022832,0.0002366,0.00024487,0.00026143,0.00029453,0.00036075,0.00021625,0.00022244,0.00023242,0.00024788,0.0002739,0.00034032
696,0.00017529,0.00018235,0.0001894,0.00020352,0.00023175,0.00028822,0.00017646,0.00018324,0.00018919,0.00020299,0.00022422,0.00028104
698,0.0001617,0.00016763,0.00017355,0.0001854,0.00020909,0.00025647,0.00016417,0.00016952,0.00017519,0.00018537,0.00020342,0.000252
700,0.00015226,0.00015742,0.00016259,0.00017291,0.00019356,0.00023486,0.00016059,0.0001638,0.00016914,0.00017655,0.00019282,0.00023206
702,0.00015233,0.00015638,0.00016042,0.00016851,0.0001847,0.00021706,0.00015924,0.00015923,0.00016625,0.00017057,0.00018252,0.00021198
704,0.00015138,0.00015476,0.00015814,0.0001649,0.00017842,0.00020547,0.00015624,0.00015729,0.00016316,0.00016634,0.00017526,0.00019861
706,0.00015275,0.00015551,0.00015826,0.00016376,0.00017477,0.00019678,0.00015464,0.00015527,0.00015962,0.00016229,0.00016835,0.00018633
708,0.00015576,0.00015781,0.00015985,0.00016394,0.00017211,0.00018845,0.00015134,0.00015079,0.0001583,0.00015883,0.0001623,0.00017587
710,0.00015229,0.0001537,0.00015512,0.00015796,0.00016363,0.00017497,0.00015422,0.00015184,0.00015545,0.00015533,0.00015748,0.00016533
712,0.00015174,0.00015279,0.00015384,0.00015594,0.00016014,0.00016855,0.00014937,0.0001462,0.00015092,0.00015125,0.00015207,0.00015658
714,0.00014981,0.00015063,0.00015145,0.00015309,0.00015638,0.00016295,0.00014156,0.00013985,0.00014268,0.00014325,0.00014372,0.00014628
