Wavelength [nm],Background nominal [32 yrs],Modulation nominal [x0.25 32 yrs],Modulation nominal [x0.50 32 yrs],Modulation nominal [x1.00 32 yrs],Modulation nominal [x2.00 32 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
472,0.00020148,0.00020645,0.00021142,0.00022135,0.00024121,0.00018818,0.00019377,0.00019739,0.00020652,0.00022264
474,0.00020184,0.00020824,0.00021463,0.00022741,0.00025299,0.00018826,0.00019479,0.00020015,0.00021092,0.0002326
476,0.00019898,0.00020637,0.00021375,0.00022853,0.00025808,0.00018344,0.00019098,0.00019747,0.00020964,0.0002337
478,0.00019865,0.00020673,0.00021482,0.00023099,0.00026333,0.00018477,0.00019256,0.00020067,0.0002134,0.00024044
480,0.0002109,0.00021979,0.00022868,0.00024646,0.00028202,0.00019715,0.0002053,0.00021474,0.00022902,0.00025846
482,0.00022586,0.00023553,0.00024519,0.00026451,0.00030317,0.0002121,0.00022194,0.00023118,0.00024822,0.00028184
484,0.00024608,0.00025597,0.00026586,0.00028564,0.00032521,0.000223,0.00023234,0.00024238,0.0002595,0.00029446
486,0.00030552,0.00031519,0.00032485,0.00034418,0.00038283,0.00024932,0.00025818,0.0002676,0.00028458,0.0003185
488,0.00048122,0.00049055,0.00049988,0.00051854,0.00055587,0.00034738,0.00035534,0.00036498,0.00037958,0.00041362
490,0.00086831,0.00087715,0.000886,0.00090368,0.00093905,0.00060872,0.0006157,0.00062476,0.00063878,0.00067088
492,0.0014818,0.0014902,0.0014986,0.0015153,0.0015487,0.0010944,0.0011001,0.0011079,0.0011201,0.0011497
494,0.0022883,0.0022972,0.0023061,0.0023239,0.0023594,0.0018034,0.0018079,0.0018155,0.0018238,0.0018507
496,0.003095,0.0031062,0.0031174,0.0031398,0.0031846,0.0025342,0.0025388,0.0025472,0.0025578,0.0025868
498,0.003882,0.0038967,0.0039115,0.0039409,0.0039998,0.0032884,0.0032952,0.0033076,0.0033244,0.0033642
500,0.0045779,0.0045965,0.0046151,0.0046523,0.0047266,0.0040324,0.0040428,0.0040608,0.0040864,0.004143
502,0.0050918,0.0051136,0.0051353,0.0051788,0.0052657,0.0046542,0.0046686,0.0046928,0.0047262,0.0047982
504,0.0053922,0.0054161,0.0054399,0.0054876,0.005583,0.005034,0.0050524,0.0050804,0.0051204,0.005203
506,0.0053931,0.0054187,0.0054442,0.0054953,0.0055974,0.0050524,0.0050722,0.0051016,0.005147,0.0052366
508,0.0049382,0.0049652,0.0049922,0.0050463,0.0051544,0.0046874,0.0047086,0.004741,0.004789,0.0048836
510,0.004144,0.0041715,0.004199,0.0042539,0.0043637,0.0040572,0.0040798,0.0041128,0.0041624,0.0042574
512,0.0032738,0.0032986,0.0033234,0.0033731,0.0034725,0.0032778,0.0032984,0.0033298,0.0033756,0.0034622
514,0.0023425,0.0023599,0.0023772,0.0024119,0.0024813,0.0024324,0.0024474,0.0024726,0.0025072,0.0025724
516,0.0013914,0.0013981,0.0014049,0.0014183,0.0014452,0.0015992,0.0016069,0.0016214,0.0016401,0.0016742
518,0.00071034,0.0007071,0.00070385,0.00069737,0.0006844,0.0008874,0.00088608,0.00088914,0.00088926,0.00088624
520,0.00046034,0.00044996,0.00043959,0.00041884,0.00037733,0.00051668,0.0005077,0.00050174,0.00048646,0.00045402
522,0.00039925,0.00038325,0.00036725,0.00033525,0.00027125,0.00039488,0.00038142,0.0003699,0.00034318,0.00028934
524,0.00038949,0.00036911,0.00034874,0.00030799,0.00022648,0.00036466,0.00034766,0.00033118,0.00029652,0.00022552
526,0.00039249,0.00036919,0.00034589,0.00029929,0.00020609,0.00036012,0.00034022,0.00032034,0.00028016,0.00019719
528,0.00039597,0.00037067,0.00034537,0.00029477,0.00019356,0.00036152,0.00034026,0.00031794,0.0002739,0.00018254
