Wavelength [nm],Background nominal [28 yrs],Modulation nominal [x0.25 28 yrs],Modulation nominal [x0.50 28 yrs],Modulation nominal [x1.00 28 yrs],Modulation nominal [x2.00 28 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
480,0.0002109,0.00021965,0.0002284,0.00024589,0.00028088,0.00019518,0.00020225,0.00020942,0.00022596,0.00025428
482,0.00022586,0.0002353,0.00024474,0.00026362,0.00030137,0.00021112,0.00021958,0.00022754,0.0002452,0.00027592
484,0.00024608,0.00025569,0.0002653,0.00028452,0.00032297,0.00022474,0.0002321,0.0002402,0.00025868,0.00029002
486,0.00030552,0.00031488,0.00032423,0.00034294,0.00038036,0.00025846,0.0002645,0.00027304,0.0002904,0.00032084
488,0.00048122,0.00049026,0.0004993,0.00051738,0.00055355,0.00037194,0.00037768,0.00038682,0.0004018,0.00043286
490,0.00086831,0.00087695,0.00088559,0.00090287,0.00093743,0.00065992,0.00066504,0.00067388,0.0006878,0.00071764
492,0.0014818,0.0014901,0.0014984,0.001515,0.0015482,0.0011728,0.0011776,0.0011862,0.0011987,0.0012263
494,0.0022883,0.0022973,0.0023063,0.0023242,0.00236,0.0018911,0.0018944,0.0019024,0.0019141,0.001939
496,0.003095,0.0031063,0.0031176,0.0031402,0.0031855,0.0025998,0.0026048,0.0026138,0.0026276,0.0026574
498,0.003882,0.0038968,0.0039116,0.0039413,0.0040005,0.0033064,0.003314,0.0033286,0.0033488,0.003392
500,0.0045779,0.0045966,0.0046152,0.0046525,0.004727,0.0039772,0.0039908,0.0040092,0.0040382,0.0040998
502,0.0050918,0.0051136,0.0051353,0.0051788,0.0052658,0.0045078,0.0045254,0.0045472,0.0045842,0.0046606
504,0.0053922,0.005416,0.0054399,0.0054875,0.0055828,0.0047982,0.0048176,0.0048432,0.004884,0.0049694
506,0.0053931,0.0054186,0.005444,0.0054948,0.0055966,0.0047396,0.004761,0.0047876,0.0048304,0.0049214
508,0.0049382,0.004965,0.0049917,0.0050453,0.0051525,0.004339,0.0043602,0.0043884,0.004434,0.0045272
510,0.004144,0.0041711,0.0041982,0.0042524,0.0043607,0.0037202,0.0037424,0.0037712,0.0038174,0.003909
512,0.0032738,0.0032981,0.0033225,0.0033712,0.0034687,0.0029794,0.0030002,0.0030268,0.0030682,0.003149
514,0.0023425,0.0023594,0.0023763,0.0024101,0.0024777,0.0021816,0.0021967,0.002217,0.0022484,0.002305
516,0.0013914,0.0013978,0.0014041,0.0014169,0.0014423,0.001406,0.0014142,0.0014248,0.0014399,0.001466
518,0.00071034,0.00070684,0.00070334,0.00069634,0.00068235,0.000774,0.0007735,0.00077442,0.00077136,0.00076324
520,0.00046034,0.0004498,0.00043926,0.00041818,0.00037602,0.00046926,0.00046196,0.00045458,0.00043716,0.0004024
522,0.00039925,0.00038317,0.00036709,0.00033492,0.00027059,0.0003773,0.0003661,0.00035238,0.00032536,0.00026958
524,0.00038949,0.00036908,0.00034868,0.00030786,0.00022624,0.00035604,0.00034056,0.00032322,0.00028838,0.00021762
526,0.00039249,0.00036918,0.00034588,0.00029926,0.00020602,0.00035298,0.00033546,0.00031498,0.00027498,0.00019324
528,0.00039597,0.00037067,0.00034536,0.00029476,0.00019354,0.00035442,0.00033536,0.00031294,0.00026974,0.00018033
530,0.00040114,0.00037422,0.0003473,0.00029345,0.00018575,0.000357,0.00033678,0.00031238,0.0002667,0.00017271
532,0.00040575,0.00037795,0.00035014,0.00029454,0.00018333,0.00035988,0.00033884,0.00031324,0.00026716,0.00016973
534,0.00040751,0.0003793,0.00035108,0.00029466,0.0001818,0.0003638,0.0003427,0.00031624,0.00026904,0.00016958
536,0.00041196,0.00038328,0.0003546,0.00029725,0.00018255,0.0003677,0.00034648,0.00031976,0.00027152,0.00017089
538,0.0004168,0.00038783,0.00035887,0.00030095,0.0001851,0.00037214,0.00035048,0.00032344,0.00027456,0.00017271
540,0.00041954,0.00039046,0.00036138,0.00030322,0.00018691,0.0003776,0.0003559,0.00032856,0.00027908,0.00017485
542,0.00042485,0.00039545,0.00036605,0.00030724,0.00018963,0.00038452,0.00036206,0.000334,0.00028412,0.00017905
544,0.0004317,0.00040215,0.00037261,0.00031351,0.00019533,0.00039122,0.00036826,0.00034018,0.00028936,0.00018287
546,0.00043649,0.0004069,0.0003773,0.0003181,0.00019971,0.00039728,0.00037402,0.00034578,0.00029486,0.00018665
